Epoch,Train_Task,Eval_Task,SGD_Accuracy,EWC_Accuracy,L2_Accuracy
8,5,5,0.9605,0.9083,0.9583
9,5,5,0.9622,0.9091,0.9592
10,5,5,0.9627,0.9074,0.9597
11,5,5,0.9635,0.9098,0.9609
12,5,5,0.9638,0.9093,0.962
13,5,5,0.965,0.91,0.9625
14,5,5,0.9649,0.9107,0.9626
15,5,5,0.9658,0.9112,0.963
16,5,5,0.9659,0.9107,0.964
17,5,5,0.9668,0.9112,0.9651
18,5,5,0.9666,0.911,0.9651
19,5,5,0.9671,0.9121,0.9655
20,5,5,0.9678,0.9117,0.9668
1,6,0,0.4789,0.6398,0.4885
2,6,0,0.4714,0.6268,0.4736
3,6,0,0.4613,0.6186,0.4682
4,6,0,0.4522,0.6143,0.4654
5,6,0,0.4452,0.6119,0.459
6,6,0,0.4409,0.6114,0.4536
7,6,0,0.4382,0.6098,0.4479
8,6,0,0.4298,0.6061,0.4362
9,6,0,0.4285,0.6072,0.4374
10,6,0,0.4276,0.605,0.436
11,6,0,0.4207,0.6063,0.4276
12,6,0,0.4167,0.6027,0.4265
13,6,0,0.4139,0.6002,0.4256
14,6,0,0.4166,0.6051,0.4207
15,6,0,0.4099,0.6023,0.4167
16,6,0,0.4076,0.6027,0.416
17,6,0,0.4081,0.6057,0.4136
18,6,0,0.4041,0.5999,0.4134
19,6,0,0.3967,0.5995,0.406
20,6,0,0.3978,0.5995,0.4047
1,6,1,0.6406,0.7591,0.6447
2,6,1,0.6287,0.7464,0.6251
3,6,1,0.613,0.7389,0.6122
4,6,1,0.6028,0.7365,0.6105
5,6,1,0.5963,0.7344,0.6014
6,6,1,0.5897,0.733,0.5987
7,6,1,0.5865,0.732,0.5884
8,6,1,0.5775,0.731,0.5762
9,6,1,0.5751,0.729,0.5759
10,6,1,0.573,0.7304,0.5747
11,6,1,0.566,0.7304,0.5638
12,6,1,0.5601,0.728,0.5618
13,6,1,0.5553,0.7247,0.5598
14,6,1,0.5596,0.7282,0.5536
15,6,1,0.5537,0.7255,0.5487
16,6,1,0.5479,0.7231,0.5468
17,6,1,0.5484,0.7284,0.5427
18,6,1,0.5451,0.723,0.5434
19,6,1,0.538,0.7256,0.5347
20,6,1,0.5398,0.724,0.534
1,6,2,0.7999,0.8402,0.8014
2,6,2,0.7845,0.8292,0.7825
3,6,2,0.7714,0.8252,0.772
4,6,2,0.7603,0.8253,0.7692
5,6,2,0.7539,0.8234,0.7595
6,6,2,0.7496,0.8232,0.7559
7,6,2,0.747,0.8235,0.7474
8,6,2,0.7369,0.8199,0.7346
9,6,2,0.7332,0.8217,0.7347
10,6,2,0.7314,0.8199,0.7338
11,6,2,0.7256,0.8217,0.7232
12,6,2,0.7191,0.8206,0.7217
13,6,2,0.7158,0.8174,0.7205
14,6,2,0.7211,0.8203,0.7148
15,6,2,0.7127,0.8182,0.7091
16,6,2,0.7066,0.8171,0.707
17,6,2,0.7085,0.8212,0.7058
18,6,2,0.7033,0.8168,0.7073
19,6,2,0.6976,0.819,0.6962
20,6,2,0.6973,0.8175,0.6968
1,6,3,0.9025,0.8911,0.9024
2,6,3,0.8936,0.8844,0.8919
3,6,3,0.8847,0.8819,0.8852
4,6,3,0.8791,0.8825,0.8837
5,6,3,0.8755,0.8802,0.8789
6,6,3,0.8731,0.8814,0.8772
7,6,3,0.872,0.8809,0.8742
8,6,3,0.8662,0.8797,0.8662
9,6,3,0.8642,0.8801,0.8673
10,6,3,0.8637,0.8789,0.8648
11,6,3,0.8606,0.8794,0.8595
12,6,3,0.8564,0.8796,0.8558
13,6,3,0.8547,0.8782,0.8567
14,6,3,0.8573,0.8794,0.8516
15,6,3,0.852,0.8771,0.848
16,6,3,0.8483,0.8766,0.8475
17,6,3,0.8491,0.8792,0.8461
18,6,3,0.8462,0.877,0.8473
19,6,3,0.842,0.879,0.84
20,6,3,0.8439,0.8781,0.84
1,6,4,0.9533,0.9162,0.9521
2,6,4,0.9502,0.9142,0.9467
3,6,4,0.9456,0.9132,0.9439
4,6,4,0.9438,0.913,0.9454
5,6,4,0.9417,0.912,0.9423
6,6,4,0.9414,0.912,0.9419
7,6,4,0.9418,0.9122,0.9393
8,6,4,0.9395,0.9116,0.9368
9,6,4,0.9391,0.9113,0.938
10,6,4,0.9391,0.912,0.9372
11,6,4,0.9372,0.9116,0.9348
12,6,4,0.9351,0.9117,0.9337
13,6,4,0.9359,0.9109,0.9341
14,6,4,0.9376,0.9124,0.9331
15,6,4,0.9345,0.9105,0.9321
16,6,4,0.9324,0.9102,0.932
17,6,4,0.9334,0.9118,0.9307
18,6,4,0.9337,0.9107,0.9308
19,6,4,0.9312,0.9114,0.9275
20,6,4,0.9317,0.9112,0.9287
1,6,5,0.9669,0.9196,0.9655
2,6,5,0.9671,0.9224,0.966
3,6,5,0.9657,0.9225,0.9654
4,6,5,0.9666,0.9227,0.9655
5,6,5,0.9667,0.9229,0.9652
6,6,5,0.9657,0.9227,0.9656
7,6,5,0.9659,0.9236,0.9658
8,6,5,0.9661,0.9235,0.965
9,6,5,0.9664,0.923,0.9656
10,6,5,0.9666,0.9234,0.9661
11,6,5,0.9674,0.9242,0.965
12,6,5,0.9666,0.9237,0.9653
13,6,5,0.9675,0.9231,0.9655
14,6,5,0.9681,0.9237,0.9654
15,6,5,0.9675,0.924,0.9657
16,6,5,0.9679,0.9233,0.9657
17,6,5,0.9676,0.9242,0.9658
18,6,5,0.9686,0.9244,0.9665
19,6,5,0.9685,0.9241,0.9659
20,6,5,0.9682,0.9235,0.9666
1,6,6,0.9518,0.8904,0.9509
2,6,6,0.9548,0.8968,0.9534
3,6,6,0.957,0.8992,0.9555
4,6,6,0.9579,0.9007,0.9547
5,6,6,0.9599,0.9014,0.9578
6,6,6,0.9607,0.9015,0.9586
7,6,6,0.9612,0.9025,0.961
8,6,6,0.9629,0.9027,0.9627
9,6,6,0.9639,0.9027,0.9629
10,6,6,0.9651,0.9035,0.9631
11,6,6,0.9658,0.9035,0.9638
12,6,6,0.9666,0.9043,0.9642
13,6,6,0.9678,0.9041,0.9642
14,6,6,0.9679,0.9036,0.965
15,6,6,0.9683,0.9045,0.9652
16,6,6,0.9694,0.9039,0.966
17,6,6,0.9688,0.9048,0.967
18,6,6,0.9703,0.9047,0.9667
19,6,6,0.9703,0.9043,0.9673
20,6,6,0.9704,0.9045,0.9678
1,7,0,0.3871,0.5394,0.3948
2,7,0,0.3759,0.5354,0.3822
3,7,0,0.3713,0.5275,0.3765
4,7,0,0.3662,0.5264,0.3705
5,7,0,0.3668,0.5225,0.3704
6,7,0,0.3568,0.5214,0.3628
7,7,0,0.3541,0.5188,0.3571
8,7,0,0.3484,0.5202,0.3581
9,7,0,0.3468,0.5203,0.3508
10,7,0,0.3458,0.5164,0.3504
11,7,0,0.3393,0.517,0.3487
12,7,0,0.3399,0.5153,0.3477
13,7,0,0.3353,0.5203,0.3442
14,7,0,0.3336,0.516,0.3444
15,7,0,0.3321,0.5139,0.3417
16,7,0,0.3289,0.5165,0.3394
17,7,0,0.3276,0.5178,0.3365
18,7,0,0.3298,0.5118,0.3334
19,7,0,0.3303,0.518,0.3319
20,7,0,0.3217,0.516,0.3289
1,7,1,0.5169,0.655,0.5136
2,7,1,0.5,0.6451,0.495
3,7,1,0.4904,0.6381,0.4892
4,7,1,0.4844,0.6369,0.4828
5,7,1,0.485,0.6333,0.4793
6,7,1,0.4727,0.6319,0.4667
7,7,1,0.4693,0.6274,0.4587
8,7,1,0.4638,0.6321,0.4602
9,7,1,0.4611,0.627,0.4516
10,7,1,0.46,0.6266,0.4498
11,7,1,0.45,0.6258,0.4459
12,7,1,0.4511,0.624,0.4484
13,7,1,0.45,0.6296,0.4422
14,7,1,0.4431,0.6245,0.4431
15,7,1,0.4428,0.6232,0.4388
16,7,1,0.4393,0.6233,0.4346
17,7,1,0.4372,0.6246,0.432
18,7,1,0.4395,0.6207,0.4279
19,7,1,0.4376,0.6258,0.426
20,7,1,0.4276,0.6254,0.4236
1,7,2,0.6622,0.76,0.6628
2,7,2,0.6424,0.7523,0.6376
3,7,2,0.6332,0.7458,0.6281
4,7,2,0.6219,0.7458,0.6183
5,7,2,0.6181,0.743,0.6139
6,7,2,0.6051,0.7411,0.6018
7,7,2,0.6015,0.7384,0.5928
8,7,2,0.5927,0.7414,0.5906
9,7,2,0.5893,0.7385,0.5806
10,7,2,0.5852,0.7376,0.5799
11,7,2,0.5773,0.7396,0.5746
12,7,2,0.5763,0.7359,0.5761
13,7,2,0.574,0.7403,0.5709
14,7,2,0.5694,0.7361,0.5692
15,7,2,0.5691,0.7332,0.564
16,7,2,0.5621,0.7349,0.5601
17,7,2,0.5607,0.7369,0.5561
18,7,2,0.5625,0.7322,0.5516
19,7,2,0.5602,0.7357,0.5499
20,7,2,0.5514,0.7362,0.5473
1,7,3,0.812,0.8373,0.8117
2,7,3,0.7916,0.8328,0.79
3,7,3,0.7813,0.8278,0.7815
4,7,3,0.771,0.8276,0.7703
5,7,3,0.7658,0.8262,0.7674
6,7,3,0.7552,0.8231,0.7561
7,7,3,0.7487,0.821,0.7463
8,7,3,0.742,0.8242,0.7455
9,7,3,0.7375,0.8216,0.7356
10,7,3,0.7353,0.8219,0.7342
11,7,3,0.7271,0.8236,0.7293
12,7,3,0.7258,0.8184,0.7293
13,7,3,0.7245,0.8233,0.7246
14,7,3,0.7201,0.8193,0.7233
15,7,3,0.7188,0.8183,0.7176
16,7,3,0.7153,0.8196,0.7146
17,7,3,0.7111,0.8225,0.7111
18,7,3,0.7129,0.8151,0.7058
19,7,3,0.7094,0.82,0.7044
20,7,3,0.7026,0.8199,0.7001
1,7,4,0.9094,0.8865,0.9071
2,7,4,0.8967,0.8831,0.8956
3,7,4,0.8906,0.8817,0.8915
4,7,4,0.8867,0.8798,0.8862
5,7,4,0.8839,0.8805,0.8826
6,7,4,0.8773,0.8785,0.8773
7,7,4,0.8733,0.8791,0.8725
8,7,4,0.8701,0.8805,0.8711
9,7,4,0.867,0.8771,0.8672
10,7,4,0.8655,0.8778,0.8644
11,7,4,0.8603,0.8779,0.8611
12,7,4,0.8596,0.8754,0.8623
13,7,4,0.8576,0.879,0.8596
14,7,4,0.8559,0.8755,0.8575
15,7,4,0.8557,0.8741,0.856
16,7,4,0.8533,0.8769,0.8526
17,7,4,0.8501,0.8774,0.8504
18,7,4,0.8519,0.8736,0.8479
19,7,4,0.8511,0.8763,0.8466
20,7,4,0.8461,0.8775,0.8468
1,7,5,0.9594,0.9129,0.9559
2,7,5,0.9538,0.9113,0.9516
3,7,5,0.9512,0.9101,0.9488
4,7,5,0.9495,0.9098,0.9475
5,7,5,0.9479,0.9098,0.9452
6,7,5,0.9461,0.9083,0.9427
7,7,5,0.9432,0.9081,0.9403
8,7,5,0.9424,0.9092,0.9403
9,7,5,0.9415,0.9084,0.9376
